Transaction ID,Date,Customer ID,Product_Category,Product Name,Quantity Sold,Unit Price,Total Revenue,Profit,Region
TXN438531,3/12/2023,CUST9223,Charging Station,Fast Charger,1,1344,1285.82,434.68,South America
TXN730094,11/28/2023,CUST2273,Charging Station,Fast Charger,9,47,389.3,122.09,North America
TXN194968,7/11/2023,CUST3520,Charging Station,Supercharger,1,126,138.57,54.06,Asia
TXN111138,11/29/2023,CUST1275,Accessory,Cable Clips,3,691,3200.36,2094.79,North America
TXN980744,11/16/2023,CUST8562,Solar Panel,Rigid Panel,10,387,3773.41,1683.49,North America
TXN194941,4/23/2023,CUST3435,Charging Station,Fast Charger,3,80,254.04,52.39,Africa
TXN710276,4/16/2023,CUST4857,EV Charger,Cable Organizer,5,1287,7078.16,2253.63,Asia
TXN961824,9/15/2023,CUST8774,EV Charger,Wallbox Charger,10,1271,13144.56,3043.54,Europe
TXN167351,4/28/2023,CUST3226,Accessory,Extension Cord,7,644,5071.85,1819.07,North America
TXN485581,2/3/2023,CUST2043,Charging Station,Fast Charger,1,615,662.74,154.5,North America
TXN279691,8/7/2023,CUST1523,Accessory,Adapter,1,586,1572.15,1158.89,North America
TXN839187,12/12/2023,CUST2581,EV Charger,Cable Organizer,6,172,1118.96,544.63,North America
TXN108311,8/31/2023,CUST7772,Charging Station,Fast Charger,5,988,4916.87,1820.07,Africa
TXN605916,4/18/2023,CUST4560,Accessory,Charging Cable,4,1205,6229.07,2688.54,Asia
TXN569284,11/29/2023,CUST4435,Battery Pack,"Power Bank 10,000mAh",8,920,7855.32,2877.21,Europe
TXN226029,2/19/2023,CUST5753,Battery Pack,"Power Bank 20,000mAh",7,1229,8932.88,2882.07,South America
TXN947437,10/7/2023,CUST5889,Charging Station,Supercharger,3,299,837.28,370.49,Africa
TXN610436,6/28/2023,CUST5673,Battery Pack,"Power Bank 20,000mAh",1,196,207.41,85.11,Africa
TXN394463,1/7/2023,CUST4266,EV Charger,Wallbox Charger,1,880,913.26,304.66,South America
TXN859259,6/24/2023,CUST6717,Accessory,Extension Cord,10,1399,14823.43,6741.11,South America
TXN966581,8/22/2023,CUST6050,Solar Panel,Rigid Panel,2,1099,2342.62,680.32,North America
TXN667941,10/5/2023,CUST8273,Charging Station,Supercharger,8,1003,7960.46,2491.6,Africa
TXN749105,2/22/2023,CUST9342,Accessory,Charging Cable,7,821,6885.31,3148.9,Asia
TXN554867,10/15/2023,CUST6684,EV Charger,Wallbox Charger,9,281,2505.77,748.98,North America
TXN745245,8/30/2023,CUST5498,EV Charger,Cable Organizer,5,1487,6789.28,3026.46,North America
TXN641096,12/10/2023,CUST4984,EV Charger,Docking Station,9,79,766.42,332.71,Europe
TXN922290,10/18/2023,CUST3979,Accessory,Charging Cable,10,1402,15735.69,6266.94,South America
TXN338882,6/5/2023,CUST7132,Battery Pack,"Power Bank 20,000mAh",4,549,2331.65,800.63,Europe
TXN202857,10/3/2023,CUST6177,Solar Panel,Rigid Panel,8,252,1954.09,792.61,Asia
TXN247624,12/13/2023,CUST4233,Accessory,Cable Clips,8,375,4125.9,1873.4,North America
TXN650281,8/15/2023,CUST4603,Charging Station,Supercharger,3,923,2676.36,801.31,Africa
TXN906975,9/2/2023,CUST7801,Battery Pack,"Power Bank 10,000mAh",5,1414,7254.67,2126.2,Africa
TXN715098,11/10/2023,CUST7583,Battery Pack,"Power Bank 20,000mAh",1,197,191.44,39.01,Asia
TXN345330,11/11/2023,CUST9995,Charging Station,Fast Charger,5,59,284.97,133.68,Asia
TXN611199,12/8/2023,CUST2137,Accessory,Adapter,5,897,5047.2,2171.04,Europe
TXN686082,10/31/2023,CUST2030,Charging Station,Fast Charger,1,295,320.09,121.02,Europe
TXN587347,9/12/2023,CUST9887,Solar Panel,Flexible Panel,8,676,5196.44,2010.83,South America
TXN261812,7/10/2023,CUST9740,Accessory,Cable Clips,2,1014,3070.96,1472.09,North America
TXN862556,2/8/2023,CUST2191,Solar Panel,Flexible Panel,1,1003,962.66,401.51,Europe
TXN532962,8/3/2023,CUST7652,Accessory,Cable Clips,5,572,4106.41,2161.24,South America
TXN408583,3/2/2023,CUST6419,EV Charger,Wallbox Charger,3,1148,3786.31,1071.37,Europe
TXN893543,3/31/2023,CUST3726,Charging Station,Fast Charger,7,838,5794.29,2090.38,South America
TXN193234,3/24/2023,CUST1019,Solar Panel,Flexible Panel,1,791,820.88,212.39,North America
